id_municipio_ibge,cluster_id,cluster_label
2921807,3,Vulneraveis
4315008,1,Desenvolvimento Avancado
4321352,2,Em Desenvolvimento
3121506,2,Em Desenvolvimento
3154606,1,Desenvolvimento Avancado
3156700,1,Desenvolvimento Avancado
3512001,0,Polos de Desenvolvimento
3543006,3,Vulneraveis
3539806,1,Desenvolvimento Avancado
3549904,0,Polos de Desenvolvimento
3554102,0,Polos de Desenvolvimento
3205309,0,Polos de Desenvolvimento
5108402,1,Desenvolvimento Avancado
2708600,2,Em Desenvolvimento
2412708,3,Vulneraveis
2102325,4,Criticos
2109270,4,Criticos
2109551,3,Vulneraveis
3302007,1,Desenvolvimento Avancado
3302502,1,Desenvolvimento Avancado
5205406,0,Polos de Desenvolvimento
2304806,3,Vulneraveis
2303709,2,Em Desenvolvimento
2307700,3,Vulneraveis
2611200,4,Criticos
2602902,1,Desenvolvimento Avancado
4108502,2,Em Desenvolvimento
4105201,3,Vulneraveis
4304689,1,Desenvolvimento Avancado
3108552,2,Em Desenvolvimento
3122900,1,Desenvolvimento Avancado
3141405,3,Vulneraveis
3526803,0,Polos de Desenvolvimento
3505708,0,Polos de Desenvolvimento
3515707,1,Desenvolvimento Avancado
2706406,4,Criticos
1507953,3,Vulneraveis
2405207,3,Vulneraveis
2105906,4,Criticos
3302858,1,Desenvolvimento Avancado
3303609,1,Desenvolvimento Avancado
5208004,0,Polos de Desenvolvimento
2511608,4,Criticos
2300754,4,Criticos
2600054,2,Em Desenvolvimento
2202117,4,Criticos
2920908,4,Criticos
4317756,1,Desenvolvimento Avancado
4304606,0,Polos de Desenvolvimento
3133105,0,Polos de Desenvolvimento
3521002,1,Desenvolvimento Avancado
3524303,0,Polos de Desenvolvimento
3508504,0,Polos de Desenvolvimento
3502507,0,Polos de Desenvolvimento
1101484,2,Em Desenvolvimento
5105622,0,Polos de Desenvolvimento
5106752,1,Desenvolvimento Avancado
2100832,4,Criticos
2111201,1,Desenvolvimento Avancado
3300902,2,Em Desenvolvimento
5202155,2,Em Desenvolvimento
2303501,3,Vulneraveis
2202737,3,Vulneraveis
4116950,0,Polos de Desenvolvimento
4314407,0,Polos de Desenvolvimento
4303103,1,Desenvolvimento Avancado
4205100,0,Polos de Desenvolvimento
4209409,1,Desenvolvimento Avancado
4217204,0,Polos de Desenvolvimento
4219309,0,Polos de Desenvolvimento
3129509,0,Polos de Desenvolvimento
3143807,2,Em Desenvolvimento
3100906,2,Em Desenvolvimento
3168309,2,Em Desenvolvimento
3511102,0,Polos de Desenvolvimento
2803401,3,Vulneraveis
5000609,2,Em Desenvolvimento
1720200,3,Vulneraveis
2401651,3,Vulneraveis
2101251,3,Vulneraveis
5219456,2,Em Desenvolvimento
2308351,3,Vulneraveis
2204105,3,Vulneraveis
2930709,2,Em Desenvolvimento
4201703,1,Desenvolvimento Avancado
3118106,3,Vulneraveis
3155702,1,Desenvolvimento Avancado
3166303,3,Vulneraveis
3164431,2,Em Desenvolvimento
3200607,0,Polos de Desenvolvimento
2106904,4,Criticos
5212600,0,Polos de Desenvolvimento
2516201,2,Em Desenvolvimento
2301604,3,Vulneraveis
2916906,3,Vulneraveis
3111101,2,Em Desenvolvimento
3146107,0,Polos de Desenvolvimento
3165503,3,Vulneraveis
3163508,3,Vulneraveis
3513900,0,Polos de Desenvolvimento
2112100,4,Criticos
2112407,4,Criticos
5203807,2,Em Desenvolvimento
2508505,3,Vulneraveis
2208551,3,Vulneraveis
4127007,2,Em Desenvolvimento
3127909,1,Desenvolvimento Avancado
3546009,0,Polos de Desenvolvimento
3531803,1,Desenvolvimento Avancado
1501709,3,Vulneraveis
1717503,3,Vulneraveis
2100956,4,Criticos
2104404,4,Criticos
2112852,3,Vulneraveis
4321204,1,Desenvolvimento Avancado
4202073,0,Polos de Desenvolvimento
4204806,0,Polos de Desenvolvimento
3117405,2,Em Desenvolvimento
3117836,3,Vulneraveis
3153707,2,Em Desenvolvimento
3512506,1,Desenvolvimento Avancado
2703502,4,Criticos
2406700,3,Vulneraveis
2410256,3,Vulneraveis
5201306,1,Desenvolvimento Avancado
5203500,2,Em Desenvolvimento
2501401,4,Criticos
2512754,3,Vulneraveis
2902203,3,Vulneraveis
4115705,0,Polos de Desenvolvimento
4122701,1,Desenvolvimento Avancado
4316204,0,Polos de Desenvolvimento
4212056,2,Em Desenvolvimento
3111606,2,Em Desenvolvimento
3530003,1,Desenvolvimento Avancado
2802205,3,Vulneraveis
2104552,3,Vulneraveis
5200100,1,Desenvolvimento Avancado
5205497,1,Desenvolvimento Avancado
2510204,3,Vulneraveis
2515971,3,Vulneraveis
4107009,2,Em Desenvolvimento
4111555,1,Desenvolvimento Avancado
4304663,2,Em Desenvolvimento
4305454,0,Polos de Desenvolvimento
4321600,0,Polos de Desenvolvimento
3122405,1,Desenvolvimento Avancado
3522000,1,Desenvolvimento Avancado
3535408,0,Polos de Desenvolvimento
1100254,2,Em Desenvolvimento
2111607,3,Vulneraveis
2615300,3,Vulneraveis
2913408,3,Vulneraveis
4127965,2,Em Desenvolvimento
4308854,1,Desenvolvimento Avancado
4315172,0,Polos de Desenvolvimento
4316600,0,Polos de Desenvolvimento
4318606,0,Polos de Desenvolvimento
4201950,0,Polos de Desenvolvimento
3103603,1,Desenvolvimento Avancado
3114907,1,Desenvolvimento Avancado
3148004,0,Polos de Desenvolvimento
3150158,3,Vulneraveis
3166006,3,Vulneraveis
3513207,0,Polos de Desenvolvimento
3541307,0,Polos de Desenvolvimento
3549102,0,Polos de Desenvolvimento
3540754,1,Desenvolvimento Avancado
2111789,4,Criticos
2110856,3,Vulneraveis
4126678,3,Vulneraveis
4201653,1,Desenvolvimento Avancado
3104809,2,Em Desenvolvimento
3107307,2,Em Desenvolvimento
3110400,2,Em Desenvolvimento
3131000,1,Desenvolvimento Avancado
3135050,2,Em Desenvolvimento
3138005,1,Desenvolvimento Avancado
3150901,2,Em Desenvolvimento
3514403,0,Polos de Desenvolvimento
1100338,3,Vulneraveis
3203130,0,Polos de Desenvolvimento
3203502,2,Em Desenvolvimento
2701902,3,Vulneraveis
5006259,2,Em Desenvolvimento
5206305,2,Em Desenvolvimento
2303402,3,Vulneraveis
2909109,3,Vulneraveis
4311981,1,Desenvolvimento Avancado
4313037,1,Desenvolvimento Avancado
4215075,1,Desenvolvimento Avancado
3143708,3,Vulneraveis
5103106,2,Em Desenvolvimento
3300936,1,Desenvolvimento Avancado
4204251,1,Desenvolvimento Avancado
3157104,3,Vulneraveis
3168507,2,Em Desenvolvimento
5108857,1,Desenvolvimento Avancado
5004908,2,Em Desenvolvimento
2402808,3,Vulneraveis
2102002,4,Criticos
2201903,2,Em Desenvolvimento
4105706,2,Em Desenvolvimento
4213104,0,Polos de Desenvolvimento
3138807,0,Polos de Desenvolvimento
5103809,1,Desenvolvimento Avancado
2706901,3,Vulneraveis
1718006,2,Em Desenvolvimento
2207934,4,Criticos
2930766,4,Criticos
4103040,2,Em Desenvolvimento
3149200,0,Polos de Desenvolvimento
3502408,1,Desenvolvimento Avancado
3557105,0,Polos de Desenvolvimento
3509957,1,Desenvolvimento Avancado
2805901,3,Vulneraveis
1500503,3,Vulneraveis
5005707,1,Desenvolvimento Avancado
2108058,4,Criticos
3301108,1,Desenvolvimento Avancado
3304110,1,Desenvolvimento Avancado
2208502,4,Criticos
4304622,2,Em Desenvolvimento
4315503,2,Em Desenvolvimento
4204558,2,Em Desenvolvimento
4218251,2,Em Desenvolvimento
3128907,2,Em Desenvolvimento
3503406,0,Polos de Desenvolvimento
3509601,0,Polos de Desenvolvimento
3523701,1,Desenvolvimento Avancado
1200401,0,Polos de Desenvolvimento
5108006,0,Polos de Desenvolvimento
2800506,3,Vulneraveis
2400208,2,Em Desenvolvimento
2508901,3,Vulneraveis
2612554,4,Criticos
4107538,0,Polos de Desenvolvimento
4316451,2,Em Desenvolvimento
4319711,0,Polos de Desenvolvimento
3102001,2,Em Desenvolvimento
3116209,0,Polos de Desenvolvimento
3127602,2,Em Desenvolvimento
3146750,3,Vulneraveis
3166600,1,Desenvolvimento Avancado
3164209,3,Vulneraveis
3535705,0,Polos de Desenvolvimento
5108303,2,Em Desenvolvimento
2806701,2,Em Desenvolvimento
4100301,2,Em Desenvolvimento
4216305,1,Desenvolvimento Avancado
3120300,3,Vulneraveis
3149903,0,Polos de Desenvolvimento
3156304,2,Em Desenvolvimento
3134608,2,Em Desenvolvimento
3528809,1,Desenvolvimento Avancado
3541505,0,Polos de Desenvolvimento
1303106,4,Criticos
5101803,0,Polos de Desenvolvimento
5204656,2,Em Desenvolvimento
5214903,2,Em Desenvolvimento
2600708,3,Vulneraveis
2906600,3,Vulneraveis
2906824,4,Criticos
2920502,3,Vulneraveis
4113254,3,Vulneraveis
4120853,0,Polos de Desenvolvimento
4202305,1,Desenvolvimento Avancado
3120839,2,Em Desenvolvimento
3139805,1,Desenvolvimento Avancado
3546702,1,Desenvolvimento Avancado
2100105,4,Criticos
2109759,4,Criticos
5207253,2,Em Desenvolvimento
2600906,3,Vulneraveis
2608602,4,Criticos
2607604,3,Vulneraveis
2206803,4,Criticos
2908804,3,Vulneraveis
4124608,1,Desenvolvimento Avancado
4125209,1,Desenvolvimento Avancado
4200804,1,Desenvolvimento Avancado
4212403,1,Desenvolvimento Avancado
4219176,1,Desenvolvimento Avancado
3127339,3,Vulneraveis
3513108,1,Desenvolvimento Avancado
3203346,1,Desenvolvimento Avancado
5107008,2,Em Desenvolvimento
5100201,0,Polos de Desenvolvimento
5000252,0,Polos de Desenvolvimento
1703701,2,Em Desenvolvimento
2402709,3,Vulneraveis
2414605,3,Vulneraveis
2112704,4,Criticos
2204303,3,Vulneraveis
2205573,4,Criticos
2925758,4,Criticos
2929008,3,Vulneraveis
4114302,2,Em Desenvolvimento
4300455,2,Em Desenvolvimento
3109709,1,Desenvolvimento Avancado
3112802,1,Desenvolvimento Avancado
3533304,1,Desenvolvimento Avancado
5106315,2,Em Desenvolvimento
2405009,3,Vulneraveis
3304128,1,Desenvolvimento Avancado
4126801,1,Desenvolvimento Avancado
4307054,1,Desenvolvimento Avancado
4311734,2,Em Desenvolvimento
4313086,1,Desenvolvimento Avancado
4320453,1,Desenvolvimento Avancado
4206405,0,Polos de Desenvolvimento
4214904,0,Polos de Desenvolvimento
3148707,3,Vulneraveis
3528205,1,Desenvolvimento Avancado
3531407,0,Polos de Desenvolvimento
3537156,0,Polos de Desenvolvimento
2103406,4,Criticos
2306900,3,Vulneraveis
2311959,4,Criticos
2608453,3,Vulneraveis
2613800,4,Criticos
2929750,3,Vulneraveis
4110656,1,Desenvolvimento Avancado
4118501,0,Polos de Desenvolvimento
4315453,0,Polos de Desenvolvimento
4204004,1,Desenvolvimento Avancado
4204202,0,Polos de Desenvolvimento
4207908,2,Em Desenvolvimento
4217907,0,Polos de Desenvolvimento
3135209,2,Em Desenvolvimento
3511607,1,Desenvolvimento Avancado
3551900,1,Desenvolvimento Avancado
1600709,4,Criticos
3201001,2,Em Desenvolvimento
5101852,2,Em Desenvolvimento
5107800,2,Em Desenvolvimento
1717909,3,Vulneraveis
2104057,2,Em Desenvolvimento
2511103,3,Vulneraveis
2202174,4,Criticos
2205300,3,Vulneraveis
2207959,4,Criticos
2924207,4,Criticos
2925253,3,Vulneraveis
4105904,1,Desenvolvimento Avancado
4304002,2,Em Desenvolvimento
4304705,0,Polos de Desenvolvimento
4310108,1,Desenvolvimento Avancado
3118809,3,Vulneraveis
3147808,2,Em Desenvolvimento
3152006,2,Em Desenvolvimento
3155900,2,Em Desenvolvimento
3526506,1,Desenvolvimento Avancado
1504604,4,Criticos
1712405,4,Criticos
5217401,1,Desenvolvimento Avancado
2609808,3,Vulneraveis
2203602,3,Vulneraveis
2205805,4,Criticos
2924702,3,Vulneraveis
2928802,3,Vulneraveis
4114005,0,Polos de Desenvolvimento
4120150,2,Em Desenvolvimento
3137502,2,Em Desenvolvimento
2706505,4,Criticos
2903235,3,Vulneraveis
2913507,4,Criticos
2915304,3,Vulneraveis
2926657,3,Vulneraveis
4310579,1,Desenvolvimento Avancado
4312351,1,Desenvolvimento Avancado
3107604,1,Desenvolvimento Avancado
3170602,1,Desenvolvimento Avancado
3534104,0,Polos de Desenvolvimento
1718881,3,Vulneraveis
5202809,2,Em Desenvolvimento
2605202,3,Vulneraveis
2911303,4,Criticos
4320305,0,Polos de Desenvolvimento
4212205,1,Desenvolvimento Avancado
3135605,3,Vulneraveis
1200302,4,Criticos
1301001,4,Criticos
1716505,0,Polos de Desenvolvimento
2409209,3,Vulneraveis
2111052,3,Vulneraveis
5219209,2,Em Desenvolvimento
5219704,2,Em Desenvolvimento
2503902,3,Vulneraveis
2923050,4,Criticos
4203204,1,Desenvolvimento Avancado
3148103,0,Polos de Desenvolvimento
3161700,2,Em Desenvolvimento
1300508,4,Criticos
1502152,2,Em Desenvolvimento
2110278,4,Criticos
2517001,4,Criticos
2205599,4,Criticos
